Benchmark,Width,Seed,Result,Partitions,Prune,Error_check,Transitions,Transitions_Pruned,Error,Est_Mean_se,Est_Max_se,New_Mean_Error,New_Max_Error,New_Min_Error,Error_std,Template,Tot_Time,Learner_Time,Certifier_Time,Abstraction_Time,Verification_Time
Water-tank,[12],0,S,6,True,True,10,5,[0.097],0.2213,1.94513,[0.02316667],[0.006],[0.092],[0.03085675],pwa,79.84029045600073,79.42117393599983,0.049977184000454145,0.1077787750018615,0.0170001
Water-tank,[12],5,S,6,True,True,10,5,[0.103],0.21958,1.99722,[0.037],[0.009],[0.092],[0.03616167],pwa,17.023914804000015,16.66627490100109,0.02772924300552404,0.10961813299945788,0.0160001
Water-tank,[12],8,S,8,True,True,14,7,[0.102],0.22541,1.96826,[0.042375],[0.007],[0.102],[0.04347395],pwa,57.68166184899928,57.22917371600124,0.06001437999475456,0.1188068999999814,0.0170001
Water-tank,[12],14,S,7,True,True,12,6,[0.097],0.2181,1.99559,[0.02242857],[0.006],[0.086],[0.02646214],pwa,55.8196316120011,55.40759870200236,0.05846579800163454,0.10564514199904806,0.0160001
Water-tank,[12],18,S,7,True,True,12,6,[0.086],0.22161,1.97477,[0.03142857],[0.008],[0.086],[0.0308816],pwa,19.45503323400044,19.096364827999423,0.040187152997532394,0.1085133210017375,0.0160001
Water-tank,[12],20,S,7,True,True,12,6,[0.085],0.22422,1.97426,[0.04028571],[0.006],[0.085],[0.03299227],pwa,347.55960763800067,347.2031748900008,0.028459219001888414,0.12374327500037907,0.0220001
Water-tank,[12],27,S,6,True,True,10,5,[0.093],0.22556,1.94925,[0.03133333],[0.008],[0.083],[0.02831176],pwa,24.602417504000186,24.229691237000225,0.037959681983920746,0.1105558179988293,0.0200001
Water-tank,[12],31,S,7,True,True,12,6,[0.081],0.22237,1.98265,[0.029],[0.005],[0.081],[0.02925259],pwa,25.097641366999596,24.70787400500012,0.03924654299225949,0.12223503699897265,0.0180001
Water-tank,[12],32,S,8,True,True,14,7,[0.101],0.21927,1.95777,[0.029375],[0.006],[0.096],[0.03479202],pwa,18.922799406000195,18.380169247000595,0.06801092299247102,0.13762488499924075,0.0290001
Water-tank,[12],39,S,8,True,True,14,7,[0.094],0.22102,1.95829,[0.031125],[0.008],[0.094],[0.03366169],pwa,17.837557880999157,17.415730108999924,0.03569939600492944,0.13187119099893607,0.0260001
Non-Lipschitz1,[10],0,S,12,True,True,40,35,[0.012 0.093],3e-05,0.00523,[0.0075     0.04466667],[0.005 0.009],[0.012 0.097],[0.00259808 0.03739504],pwa,17.872389242998906,16.460698766999485,0.7602705519893789,0.35614786700170953,0.0660001
Non-Lipschitz1,[10],5,S,20,True,True,110,96,[0.007 0.135],3e-05,0.0097,[0.00525 0.0482 ],[0.005 0.006],[0.007 0.135],[0.00062249 0.05290898],pwa,27.063478228999884,19.086171805998674,6.313324425002065,1.1561796099995263,0.0530001
Non-Lipschitz1,[10],9,S,13,True,True,48,41,[0.013 0.11 ],3e-05,0.00446,[0.008      0.05853846],[0.005 0.006],[0.013 0.11 ],[0.00359487 0.04054554],pwa,54.796616764000646,51.838325893999354,2.093691095007671,0.48026960599963786,0.0770001
Non-Lipschitz1,[10],12,S,11,True,True,38,34,[0.031 0.1  ],3e-05,0.00571,[0.012      0.05490909],[0.005 0.018],[0.031 0.1  ],[0.01087951 0.03708333],pwa,19.927158758999212,18.80346832899886,0.4394026230002055,0.393934187000923,0.0800001
Non-Lipschitz1,[10],17,S,6,True,True,10,9,[0.029 0.105],3e-05,0.00723,[0.01266667 0.06      ],[0.005 0.015],[0.029 0.105],[0.01085766 0.03866523],pwa,53.94287437999992,53.11303926800065,0.4665436020004563,0.14072140800089983,0.0740001
Non-Lipschitz1,[10],20,S,11,True,True,32,30,[0.021 0.115],3e-05,0.00581,[0.00890909 0.04918182],[0.005 0.005],[0.021 0.103],[0.006022   0.04093191],pwa,56.51024018799944,54.04108393400202,1.5862548649947712,0.3924020419981389,0.102001
Non-Lipschitz1,[10],27,S,16,True,True,72,61,[0.005 0.112],3e-05,0.00698,[0.005     0.0561875],[0.005 0.01 ],[0.005 0.112],[0.         0.04552365],pwa,82.92648145199928,60.162250997998854,19.296218137002143,0.8278191389999847,1.87801
Non-Lipschitz1,[10],29,S,14,True,True,50,43,[0.011 0.099],3e-05,0.00544,[0.008      0.06692857],[0.005 0.009],[0.011 0.099],[0.003      0.03858287],pwa,42.03571746700072,28.17852507799944,12.825089885011039,0.6323791459981294,0.0920001
Non-Lipschitz1,[10],32,S,17,True,True,80,70,[0.005 0.1  ],3e-05,0.00662,[0.005      0.05882353],[0.005 0.005],[0.005 0.1  ],[0.         0.04163459],pwa,43.4755497319984,28.879016118000436,13.336575735989754,0.8925716760004434,0.0680001
Non-Lipschitz1,[10],39,S,20,True,True,104,91,[0.005 0.104],3e-05,0.00453,[0.005   0.04765],[0.005 0.011],[0.005 0.104],[8.67361738e-19 3.86785147e-02],pwa,36.40709830000014,24.622519138001735,5.20404353100821,1.1699401369987754,3.92001
Non-Lipschitz2,[12 10],1,S,13,True,True,36,33,[0.043 0.088],7e-05,0.00454,[0.02230769 0.02053846],[0.005 0.005],[0.038 0.074],[0.01045418 0.02378628],pwa,84.91053974200258,55.99702960800278,18.0318600330138,2.46714600300038,5.22101
Non-Lipschitz2,[12 10],4,S,13,True,True,42,39,[0.027 0.099],7e-05,0.00618,[0.01553846 0.03030769],[0.005 0.005],[0.024 0.088],[0.00571927 0.03574995],pwa,87.14075241299724,47.71734564500002,34.412179900999035,2.4497169499991287,0.445001
Non-Lipschitz2,[12 10],8,S,65,True,True,416,355,[0.033 0.087],7e-05,0.0046,[0.02136923 0.03975385],[0.006 0.005],[0.033 0.087],[0.00740804 0.02978798],pwa,98.74957289099984,29.839121895998687,25.068296512006782,13.679360287002055,9.97501
Non-Lipschitz2,[12 10],12,S,23,True,True,104,89,[0.04 0.07],7e-05,0.00331,[0.02469565 0.02065217],[0.006 0.005],[0.04 0.07],[0.01053538 0.02046547],pwa,59.960332845002995,30.88670581399856,15.726184336010192,4.3167626520044,2.57701
Non-Lipschitz2,[12 10],19,S,62,True,True,416,357,[0.044 0.083],7e-05,0.00488,[0.03127419 0.04877419],[0.005 0.005],[0.044 0.083],[0.01241119 0.03296597],pwa,91.55814312599978,44.733116027000506,16.197642629962502,14.818965965001553,0.664001
Non-Lipschitz2,[12 10],20,S,39,True,True,220,190,[0.04  0.077],7e-05,0.00413,[0.02317949 0.03487179],[0.005 0.005],[0.04  0.077],[0.01175797 0.0301485 ],pwa,136.40638014700016,54.259350020001875,17.117213196019293,7.73199503199794,44.5281
Non-Lipschitz2,[12 10],26,S,13,True,True,30,28,[0.037 0.084],7e-05,0.00465,[0.01823077 0.02546154],[0.005 0.005],[0.031 0.071],[0.00871033 0.0241776 ],pwa,63.92808451599922,28.50757352399887,20.759951419982826,2.8914874310030427,8.38501
Non-Lipschitz2,[12 10],31,S,18,True,True,64,57,[0.044 0.077],7e-05,0.00392,[0.02305556 0.03366667],[0.009 0.005],[0.044 0.077],[0.01110291 0.02699588],pwa,114.22850302200095,76.96379905400318,14.855142618980608,4.69907219200104,10.5621
Non-Lipschitz2,[12 10],32,S,30,True,True,166,143,[0.032 0.085],7e-05,0.00476,[0.02136667 0.0443    ],[0.008 0.005],[0.032 0.085],[0.00844387 0.03210104],pwa,114.21347700600018,50.061899444997835,42.334365852027986,12.575283793998096,0.526001
Non-Lipschitz2,[12 10],38,S,27,True,True,142,119,[0.036 0.084],7e-05,0.00455,[0.02296296 0.03574074],[0.012 0.005],[0.036 0.084],[0.00873258 0.02843784],pwa,74.27945455299778,33.17401695300214,18.074300118008978,7.461117202994501,8.70401
Water-tank,[12],0,S,6,False,True,10,10,[0.097],0.2213,1.94513,[0.02316667],[0.006],[0.092],[0.03085675],pwa,65.93613335099963,65.44458302400017,0.04943129700404825,0.07770317899939982,0.0620001
Water-tank,[12],5,S,6,False,True,10,10,[0.103],0.21958,1.99722,[0.037],[0.009],[0.092],[0.03616167],pwa,14.737631189999775,14.434872738000195,0.022338612001476577,0.04108033500051533,0.0540001
Water-tank,[12],8,S,8,False,True,14,14,[0.102],0.22541,1.96826,[0.042375],[0.007],[0.102],[0.04347395],pwa,48.59277650999957,48.17573202599942,0.050157864003267605,0.04377674500028661,0.0620001
Water-tank,[12],14,S,7,False,True,12,12,[0.097],0.2181,1.99559,[0.02242857],[0.006],[0.086],[0.02646214],pwa,52.11993888899997,51.644748833999984,0.06060152300324262,0.05061323599966272,0.0780001
Water-tank,[12],18,S,7,False,True,12,12,[0.086],0.22161,1.97477,[0.03142857],[0.008],[0.086],[0.0308816],pwa,20.83064823099994,20.396867305999876,0.043627502997878764,0.05040167300012399,0.0790001
Water-tank,[12],20,S,7,False,True,12,12,[0.085],0.22422,1.97426,[0.04028571],[0.006],[0.085],[0.03299227],pwa,391.2905111829996,390.63732882800014,0.0581620219963952,0.08488944300006551,0.117001
Water-tank,[12],27,S,6,False,True,10,10,[0.093],0.22556,1.94925,[0.03133333],[0.008],[0.083],[0.02831176],pwa,32.483174822000365,31.973496404999423,0.057518086000527546,0.06425907199991343,0.0870001
Water-tank,[12],31,S,7,False,True,12,12,[0.081],0.22237,1.98265,[0.029],[0.005],[0.081],[0.02925259],pwa,35.11552877200029,34.595045201000175,0.0487822290024269,0.0619776389994513,0.0770001
Water-tank,[12],32,S,8,False,True,14,14,[0.101],0.21927,1.95777,[0.029375],[0.006],[0.096],[0.03479202],pwa,26.96310938500028,26.3563045410001,0.08287985500101058,0.06050262000007933,0.107001
Water-tank,[12],39,S,8,False,True,14,14,[0.094],0.22102,1.95829,[0.031125],[0.008],[0.094],[0.03366169],pwa,18.534738779999316,18.099288630000046,0.03655907199754438,0.05347620800057484,0.0890001
Non-Lipschitz1,[10],0,S,12,False,True,40,40,[0.012 0.093],3e-05,0.00523,[0.0075     0.04466667],[0.005 0.009],[0.012 0.097],[0.00259808 0.03739504],pwa,24.837426121000135,23.61232371099959,0.7993060870003319,0.06796610400033387,0.100001
Non-Lipschitz1,[10],5,S,20,False,True,110,110,[0.007 0.135],3e-05,0.0097,[0.00525 0.0482 ],[0.005 0.006],[0.007 0.135],[0.00062249 0.05290898],pwa,30.36822043599932,22.64746782600014,7.038865617008014,0.09685706099935487,0.109001
Non-Lipschitz1,[10],9,S,13,False,True,48,48,[0.013 0.11 ],3e-05,0.00446,[0.008      0.05853846],[0.005 0.006],[0.013 0.11 ],[0.00359487 0.04054554],pwa,63.702500669000074,60.014109961998656,2.928873495005064,0.09421884499988664,0.211001
Non-Lipschitz1,[10],12,S,11,False,True,38,38,[0.031 0.1  ],3e-05,0.00571,[0.012      0.05490909],[0.005 0.018],[0.031 0.1  ],[0.01087951 0.03708333],pwa,29.471496211999693,28.377981298000122,0.5637517059994934,0.08825924299981125,0.155001
Non-Lipschitz1,[10],17,S,6,False,True,10,10,[0.029 0.105],3e-05,0.00723,[0.01266667 0.06      ],[0.005 0.015],[0.029 0.105],[0.01085766 0.03866523],pwa,80.16456204899987,79.16512952200083,0.6524217460000727,0.060504783000396856,0.109001
Non-Lipschitz1,[10],20,S,11,False,True,32,32,[0.021 0.115],3e-05,0.00581,[0.00890909 0.04918182],[0.005 0.005],[0.021 0.103],[0.006022   0.04093191],pwa,63.53942287099926,61.24944375999985,1.6667842839988225,0.07878681999955006,0.141001
Non-Lipschitz1,[10],27,S,16,False,True,72,72,[0.005 0.112],3e-05,0.00698,[0.005     0.0561875],[0.005 0.01 ],[0.005 0.112],[0.         0.04552365],pwa,93.26832028899935,68.25367733199982,20.228559788000894,0.10421207000035793,3.81101
Non-Lipschitz1,[10],29,S,14,False,True,50,50,[0.011 0.099],3e-05,0.00544,[0.008      0.06692857],[0.005 0.009],[0.011 0.099],[0.003      0.03858287],pwa,45.052398269999685,30.381819362999522,14.12718766800117,0.09367326900064654,0.134001
Non-Lipschitz1,[10],32,S,17,False,True,80,80,[0.005 0.1  ],3e-05,0.00662,[0.005      0.05882353],[0.005 0.005],[0.005 0.1  ],[0.         0.04163459],pwa,53.58629990999998,34.65474797399929,18.20823605300302,0.18120844300028693,0.112001
Non-Lipschitz1,[10],39,S,20,False,True,104,104,[0.005 0.104],3e-05,0.00453,[0.005   0.04765],[0.005 0.011],[0.005 0.104],[8.67361738e-19 3.86785147e-02],pwa,40.95023804799985,28.071944566999264,5.922573567000654,0.12217981200046779,4.97201
Non-Lipschitz2,[12 10],1,S,13,False,True,36,36,[0.043 0.088],7e-05,0.00454,[0.02230769 0.02053846],[0.005 0.005],[0.038 0.074],[0.01045418 0.02378628],pwa,78.06549433700002,51.290291518999766,15.351847176002593,2.0468937750001714,6.17301
Non-Lipschitz2,[12 10],4,S,13,False,True,42,42,[0.027 0.099],7e-05,0.00618,[0.01553846 0.03030769],[0.005 0.005],[0.024 0.088],[0.00571927 0.03574995],pwa,88.51965197299978,46.915427531000205,36.03353993100336,2.5102657910001653,0.450001
Non-Lipschitz2,[12 10],9,S,11,False,True,26,26,[0.03  0.098],7e-05,0.00587,[0.01736364 0.04136364],[0.011 0.005],[0.03  0.098],[0.00632847 0.03613931],pwa,95.7802026950003,48.588777631000085,32.46972780499982,3.014474949000032,7.70901
Non-Lipschitz2,[12 10],12,S,23,False,True,104,104,[0.04 0.07],7e-05,0.00331,[0.02469565 0.02065217],[0.006 0.005],[0.04 0.07],[0.01053538 0.02046547],pwa,62.70436619699922,32.23474798500047,17.955671650000113,3.741391962999842,2.01001
Non-Lipschitz2,[12 10],19,S,62,False,True,416,416,[0.044 0.083],7e-05,0.00488,[0.03127419 0.04877419],[0.005 0.005],[0.044 0.083],[0.01241119 0.03296597],pwa,85.96988249499918,42.23986193099972,17.362639774003583,10.291025100999832,1.23801
Non-Lipschitz2,[12 10],23,S,28,False,True,150,150,[0.042 0.077],6e-05,0.00415,[0.02071429 0.02675   ],[0.006 0.005],[0.042 0.077],[0.01135737 0.0262755 ],pwa,169.4241315700001,136.79377090700018,20.1181145510036,5.309435477000079,0.941001
Non-Lipschitz2,[12 10],26,S,13,False,True,30,30,[0.037 0.084],7e-05,0.00465,[0.01823077 0.02546154],[0.005 0.005],[0.031 0.071],[0.00871033 0.0241776 ],pwa,64.23799379199954,28.479180426000312,21.077816231002544,2.6469811109991497,8.49001
Non-Lipschitz2,[12 10],31,S,18,False,True,64,64,[0.044 0.077],7e-05,0.00392,[0.02305556 0.03366667],[0.009 0.005],[0.044 0.077],[0.01110291 0.02699588],pwa,107.99850249800056,77.87479985600021,12.930686100001367,3.2653750430008586,7.92501
Non-Lipschitz2,[12 10],32,S,30,False,True,166,166,[0.032 0.085],7e-05,0.00476,[0.02136667 0.0443    ],[0.008 0.005],[0.032 0.085],[0.00844387 0.03210104],pwa,105.10659442300039,47.40572234299998,38.759521845985546,9.511029256999791,0.880001
Non-Lipschitz2,[12 10],38,S,27,False,True,142,142,[0.036 0.084],7e-05,0.00455,[0.02296296 0.03574074],[0.012 0.005],[0.036 0.084],[0.00873258 0.02843784],pwa,69.52855783599989,30.18409523199989,18.22218854699804,5.9712846270003865,8.27301
Water-tank,[4],0,S,1,False,True,0,0,[0.07],0.22245,1.94782,[0.07],[0.07],[0.07],0,sig,20.71839691400055,16.178794832998392,0.0039073179996194085,0,4.104757
Water-tank,[4],5,S,1,False,True,0,0,[0.07],0.22679,1.96643,[0.07],[0.07],[0.07],0,sig,18.635878242999752,14.213910027003294,0.020161258998996345,0,3.968043
Water-tank,[4],11,S,1,False,True,0,0,[0.07],0.23385,1.97439,[0.07],[0.07],[0.07],0,sig,16.724396118001096,12.383701337996172,0.014749203002793365,0,3.903604
Water-tank,[4],12,S,1,False,True,0,0,[0.07],0.22181,1.95176,[0.07],[0.07],[0.07],0,sig,19.11382755900013,14.167998361999707,0.015909429001112585,0,4.4447
Water-tank,[4],17,S,1,False,True,0,0,[0.07],0.22687,1.95638,[0.07],[0.07],[0.07],0,sig,20.386640376000287,14.667587723997713,0.010322446003556252,0,5.133459
Water-tank,[4],23,S,1,False,True,0,0,[0.07],0.23047,1.95178,[0.07],[0.07],[0.07],0,sig,22.074493318999885,16.791724569997314,0.012853547998020076,0,4.724292
Water-tank,[4],25,S,1,False,True,0,0,[0.07],0.23395,1.94105,[0.07],[0.07],[0.07],0,sig,16.83296108200011,11.900071463005588,0.016697943003237015,0,4.453358
Water-tank,[4],31,S,1,False,True,0,0,[0.07],0.22724,1.99149,[0.07],[0.07],[0.07],0,sig,16.019397255000513,10.991460176001056,0.011908933995073312,0,4.525073
Water-tank,[4],33,S,1,False,True,0,0,[0.07],0.22471,1.93425,[0.07],[0.07],[0.07],0,sig,19.601044764000108,14.602574480995827,0.01163336300123774,0,4.431086
Water-tank,[4],39,S,1,False,True,0,0,[0.07],0.22888,1.96641,[0.07],[0.07],[0.07],0,sig,17.922237241999028,13.067301130000487,0.016950212000665488,0,4.341101
Non-Lipschitz1,[4],0,S,1,False,True,0,0,[0.009 0.078],2e-05,0.00365,[0.009 0.078],[0.009 0.078],[0.009 0.078],0,sig,116.48068436200083,21.595590120999987,2.2325997519983503,0,76.924668
Non-Lipschitz1,[4],4,S,1,False,True,0,0,[0.013 0.085],2e-05,0.00382,[0.013 0.085],[0.013 0.085],[0.013 0.085],0,sig,122.29126244999861,23.03704073500012,0.7990976469991438,0,81.139228
Non-Lipschitz1,[4],10,S,1,False,True,0,0,[0.015 0.085],2e-05,0.00452,[0.015 0.085],[0.015 0.085],[0.015 0.085],0,sig,122.0108251620004,26.261726625001756,0.697677844998907,0,78.638891
Non-Lipschitz1,[4],14,S,1,False,True,0,0,[0.015 0.07 ],2e-05,0.00194,[0.015 0.07 ],[0.015 0.07 ],[0.015 0.07 ],0,sig,119.19173485800093,36.87507356200149,1.1997959710006398,0,66.578104
Non-Lipschitz1,[4],17,S,1,False,True,0,0,[0.012 0.072],2e-05,0.00304,[0.012 0.072],[0.012 0.072],[0.012 0.072],0,sig,110.80950524900072,25.851336323001306,1.3677774109983147,0,68.739912
Non-Lipschitz1,[4],21,S,1,False,True,0,0,[0.009 0.059],2e-05,0.00117,[0.009 0.059],[0.009 0.059],[0.009 0.059],0,sig,98.7926021660005,29.000280542999462,1.5979054999988875,0,55.917925
Non-Lipschitz1,[4],27,S,1,False,True,0,0,[0.012 0.09 ],2e-05,0.00418,[0.012 0.09 ],[0.012 0.09 ],[0.012 0.09 ],0,sig,121.40130037500057,19.46745342199938,0.7952794359989639,0,83.909153
Non-Lipschitz1,[4],31,S,1,False,True,0,0,[0.015 0.065],3e-05,0.00189,[0.015 0.065],[0.015 0.065],[0.015 0.065],0,sig,103.20918424699994,23.753230629999962,0.6061464979975426,0,64.949396
Non-Lipschitz1,[4],33,S,1,False,True,0,0,[0.005 0.048],2e-05,0.00125,[0.005 0.048],[0.005 0.048],[0.005 0.048],0,sig,86.45310007599983,25.061633253000764,5.168161225003132,0,46.007842
Non-Lipschitz1,[4],37,S,1,False,True,0,0,[0.014 0.067],2e-05,0.00191,[0.014 0.067],[0.014 0.067],[0.014 0.067],0,sig,119.35713994900107,35.35036169700106,1.5277582210019318,0,66.934023
Water-tank,[15],0,S,6,True,True,10,5,[0.22317588],0.22521,1.83016,[0.16233333],[0.117],[0.198],[0.02951083],pwc,7.562290599999869,7.259888711999338,0.027829025999380974,0.12268203799976618,0.00600001
Water-tank,[15],6,S,5,True,True,8,4,[0.2123012],0.2286,1.99972,[0.1662],[0.142],[0.18],[0.01315143],pwc,7.72719786000016,7.408709291999912,0.025862400999358215,0.11484911299976375,0.00800001
Water-tank,[15],8,S,4,True,True,6,3,[0.27119376],0.21474,1.42159,[0.2345],[0.218],[0.262],[0.0165],pwc,7.853890414000489,7.596407199999703,0.025376521000907815,0.08930005200090818,0.00700001
Water-tank,[15],13,S,6,True,True,10,5,[0.22138253],0.22366,1.81146,[0.16116667],[0.101],[0.197],[0.03056914],pwc,7.8408843099996375,7.537477596999452,0.027531882001312624,0.11907663800047885,0.0190001
Water-tank,[15],16,S,6,True,True,10,5,[0.21843463],0.23136,2.17978,[0.17966667],[0.145],[0.202],[0.017075],pwc,8.105558481000116,7.798031858000286,0.02958587200009788,0.12571442100033892,0.00800001
Water-tank,[15],22,S,6,True,True,10,5,[0.19570515],0.21334,1.54227,[0.1605],[0.133],[0.19],[0.01792345],pwc,8.521489482000106,8.195958919000077,0.034124265001082676,0.12062303299990162,0.0130001
Water-tank,[15],24,S,6,True,True,10,5,[0.23396757],0.20799,1.46535,[0.16666667],[0.079],[0.205],[0.04770977],pwc,8.21931390699956,7.91205300799993,0.02522892599881743,0.12057455200010736,0.0130001
Water-tank,[15],28,S,5,True,True,8,4,[0.2128423],0.21177,1.52963,[0.1808],[0.171],[0.196],[0.00823165],pwc,8.238832447999812,7.943761465000534,0.028331909000371525,0.11998620099984691,0.00700001
Water-tank,[15],35,S,5,True,True,8,4,[0.2260524],0.21569,1.49101,[0.1612],[0.064],[0.201],[0.0498574],pwc,8.424506587999531,8.109586124999623,0.03733017599734012,0.12332362899996951,0.0100001
Water-tank,[15],38,S,6,True,True,10,5,[0.19499905],0.20811,2.0881,[0.155],[0.11],[0.164],[0.02012461],pwc,8.519927475000259,8.15643574600017,0.03186327900039032,0.1336095930000738,0.0220001
Non-Lipschitz1,[20],1,S,16,True,True,84,71,[0.48655257 0.48536882],0.02999,0.17078,[0.32078454 0.29033555],[0.137 0.107],[0.48655257 0.48536882],[0.09915389 0.10986161],pwc,13.758398187001148,11.401298535998649,0.2537078509958519,1.2614805649991467,0.378001
Non-Lipschitz1,[20],7,S,32,True,True,188,161,[0.60067758 0.58607213],0.04662,0.28144,[0.37911595 0.33322777],[0.069 0.049],[0.60067758 0.58607213],[0.16540276 0.15446636],pwc,17.86625650499991,13.166844662000585,0.5274291819932841,2.8396380040012446,0.396001
Non-Lipschitz1,[20],8,S,22,True,True,108,92,[0.59644438 0.59650049],0.05199,0.26759,[0.41574242 0.44379552],[0.1   0.127],[0.59644438 0.59650049],[0.13367703 0.14477385],pwc,15.208825933001208,12.689265162000083,0.2597655340032361,1.56479921600112,0.174001
Non-Lipschitz1,[20],13,S,24,True,True,130,109,[0.737895   0.73392265],0.09355,0.43916,[0.48024562 0.45274678],[0.199 0.096],[0.737895   0.73392265],[0.15677032 0.18470844],pwc,16.899083579000944,13.800191090000226,0.3220195479934773,1.981831852999676,0.163001
Non-Lipschitz1,[20],17,S,14,True,True,62,53,[0.61594814 0.61580561],0.06466,0.26312,[0.33907143 0.46942857],[0.109 0.311],[0.548 0.56 ],[0.14675172 0.07569083],pwc,15.178395243001432,12.999439647001054,0.21979610799826332,0.9715647720004199,0.518001
Non-Lipschitz1,[20],20,S,32,True,True,194,165,[0.56639574 0.56632515],0.04612,0.25494,[0.34323112 0.32260391],[0.055 0.055],[0.56639574 0.56632515],[0.13617314 0.14415032],pwc,18.251981310999327,13.44909508299861,0.4968120149933384,2.9726774979990296,0.279001
Non-Lipschitz1,[20],26,S,14,True,True,68,58,[0.6262368  0.62611133],0.05684,0.30538,[0.4926936  0.47609528],[0.177 0.218],[0.6262368  0.62611133],[0.11856548 0.13424474],pwc,15.694380324999656,13.57099093800025,0.13400886499766784,1.085427523999897,0.459001
Non-Lipschitz1,[20],30,S,44,True,True,278,237,[0.54091383 0.55199627],0.03834,0.21804,[0.32514538 0.34561304],[0.046 0.058],[0.54091383 0.55199627],[0.14772099 0.13334845],pwc,25.164816025999244,14.228048355998908,0.897533110999575,5.032341489999453,2.59101
Non-Lipschitz1,[20],34,S,45,True,True,286,242,[0.73201165 0.73483065],0.07003,0.4876,[0.41024651 0.44383656],[0.088 0.112],[0.73201165 0.73483065],[0.21271391 0.19165539],pwc,20.86092162100067,14.08579259399994,0.8007044019977911,4.317783543001497,0.360001
Non-Lipschitz1,[20],39,S,22,True,True,120,102,[0.57321444 0.57301857],0.04995,0.24254,[0.45042859 0.39222896],[0.287 0.155],[0.57321444 0.57301857],[0.07917832 0.12210415],pwc,17.516684784999597,14.22367425199991,0.30483853899204405,1.9166267519976827,0.434001
Non-Lipschitz2,[24],0,S,94,True,True,636,536,[0.79042345 0.79082116],0.0712,0.51246,[0.50169936 0.47006263],[0.076 0.022],[0.79042345 0.79082116],[0.21690309 0.24296475],pwc,38.477783571001055,11.209554320999814,1.946376523015715,10.079922824999812,10.2671
Non-Lipschitz2,[24],5,S,68,True,True,440,372,[0.82389429 0.82361251],0.09689,0.60023,[0.50229483 0.48394871],[0.145 0.026],[0.82389429 0.841     ],[0.19319095 0.22747462],pwc,34.667774431,12.195879359998798,1.2606480949907564,7.409412629000144,9.77801
Non-Lipschitz2,[24],9,S,73,True,True,474,402,[1.0603486  1.03817225],0.15648,0.91186,[0.65606208 0.5658115 ],[0.155 0.067],[1.07       1.03817225],[0.29382203 0.29859469],pwc,34.57281766499909,12.367463729999145,1.3041544390180206,8.430996303999564,8.58001
Non-Lipschitz2,[24],15,S,91,True,True,612,518,[1.04825974 1.04826324],0.12718,0.78579,[0.62714785 0.59555525],[0.129 0.046],[1.04825974 1.04826324],[0.29526609 0.34091584],pwc,45.3701113670013,13.333677390000958,1.9268323090036574,11.750634464000541,12.2151
Non-Lipschitz2,[24],19,S,82,True,True,558,476,[1.0036923 1.0019806],0.13373,0.76876,[0.62368293 0.5360701 ],[0.084 0.061],[1.0036923 1.0019806],[0.25838752 0.29555216],pwc,51.806554875000074,14.183424196000487,1.9663643760013656,10.864563630000703,19.0751
Non-Lipschitz2,[24],22,S,68,True,True,434,362,[0.99479191 0.99475019],0.09969,0.70675,[0.60275128 0.56284563],[0.129 0.055],[0.99479191 0.99475019],[0.26413779 0.29377649],pwc,47.68784612200034,13.287336973000492,2.1033185699961905,7.811480709000534,18.4431
Non-Lipschitz2,[24],25,S,55,True,True,360,304,[0.88713959 0.88201903],0.1239,0.59045,[0.589085   0.59676779],[0.186 0.137],[0.88713959 0.88201903],[0.21023879 0.22565945],pwc,40.01736840900048,13.738888933999988,1.7373746689954714,6.791393857001822,13.6801
Non-Lipschitz2,[24],30,S,62,True,True,392,332,[1.08836204 1.08876608],0.12954,1.12262,[0.7611902 0.6401977],[0.181 0.061],[1.08836204 1.08876608],[0.28339919 0.33563256],pwc,39.69500448799954,13.696096153000326,1.3136921910027013,7.7529956360012875,12.7361
Non-Lipschitz2,[24],33,S,82,True,True,552,469,[1.09085515 1.03782207],0.14011,0.84296,[0.66915979 0.6319566 ],[0.121 0.124],[1.09085515 1.03782207],[0.29850247 0.30658467],pwc,49.66137026600154,13.214817433999997,2.6902029529865104,11.08952847999899,17.0101
Non-Lipschitz2,[24],39,S,59,True,True,368,318,[1.12735786 1.12564407],0.15296,0.94192,[0.74600499 0.64241913],[0.238 0.05 ],[1.12735786 1.12564407],[0.25420097 0.36909674],pwc,32.74107588800143,13.744271108000248,1.6867945050016715,5.013917583000875,9.06501
Water-tank,[15],1,S,5,False,True,8,8,[0.20889837],0.2186,1.52263,[0.179],[0.168],[0.199],[0.01048809],pwc,6.470907872999305,6.158517571999255,0.03203645299799973,0.11986140400040313,0.0140001
Water-tank,[15],6,S,5,False,True,8,8,[0.2123012],0.2286,1.99972,[0.1662],[0.142],[0.18],[0.01315143],pwc,7.2353439050002635,6.943550590000086,0.034503024004152394,0.0717941629991401,0.0120001
Water-tank,[15],8,S,4,False,True,6,6,[0.27119376],0.21474,1.42159,[0.2345],[0.218],[0.262],[0.0165],pwc,7.091028584000014,6.834130027000356,0.034204088000478805,0.07097106800028996,0.00900001
Water-tank,[15],13,S,6,False,True,10,10,[0.22138253],0.22366,1.81146,[0.16116667],[0.101],[0.197],[0.03056914],pwc,7.300621612001123,7.047808577000978,0.03208175800682511,0.05618258399954357,0.0140001
