Benchmark,Width,Seed,Result,Partitions,Prune,Error_check,Transitions,Transitions_Pruned,Error,Est_Mean_se,Est_Max_se,New_Mean_Error,New_Max_Error,New_Min_Error,Error_std,Template,Tot_Time,Learner_Time,Certifier_Time,Abstraction_Time,Verification_Time
NODE1,[5],4,S,5,False,False,14,14,[0.1 0.1],,,[0.1 0.1],[0.1 0.1],[0.1 0.1],[0. 0.],pwa,18.435865008999826,4.623396682996827,13.65216474800036,0.04104265999922063,0.0350001
NODE1,[5],11,S,6,False,False,16,16,[0.1 0.1],,,[0.1 0.1],[0.1 0.1],[0.1 0.1],[1.38777878e-17 1.38777878e-17],pwa,18.365008193002723,4.216158079998422,13.977791307999723,0.04138518500258215,0.0420001
NODE1,[5],15,S,7,False,False,18,18,[0.1 0.1],,,[0.1 0.1],[0.1 0.1],[0.1 0.1],[1.38777878e-17 1.38777878e-17],pwa,18.202728147000016,4.797830912997597,13.216488685000513,0.04695802599962917,0.0440001
NODE1,[5],18,S,4,False,False,6,6,[0.1 0.1],,,[0.1 0.1],[0.1 0.1],[0.1 0.1],[0. 0.],pwa,17.58762160400147,3.1151338540003053,14.314051330999064,0.03915164199861465,0.0430001
NODE1,[5],23,S,5,False,False,8,8,[0.1 0.1],,,[0.1 0.1],[0.1 0.1],[0.1 0.1],[0. 0.],pwa,17.273487473001296,3.721062045002327,13.39904339900022,0.04054388700023992,0.0360001
NODE1,[5],27,S,7,False,False,24,24,[0.1 0.1],,,[0.1 0.1],[0.1 0.1],[0.1 0.1],[1.38777878e-17 1.38777878e-17],pwa,17.71924728900194,4.5244828130016685,13.014811259003181,0.042197929997200845,0.0410001
NODE1,[5],29,S,5,False,False,8,8,[0.1 0.1],,,[0.1 0.1],[0.1 0.1],[0.1 0.1],[0. 0.],pwa,18.734143175999634,4.822061988001224,13.75366892799866,0.04106175299966708,0.0370001
NODE1,[5],34,S,6,False,False,16,16,[0.1 0.1],,,[0.1 0.1],[0.1 0.1],[0.1 0.1],[1.38777878e-17 1.38777878e-17],pwa,17.72993181399943,4.886959793999267,12.674665579001157,0.04108132500186912,0.0400001
NODE1,[5],39,S,6,False,False,10,10,[0.1 0.1],,,[0.1 0.1],[0.1 0.1],[0.1 0.1],[1.38777878e-17 1.38777878e-17],pwa,17.601912902999175,3.909901372000604,13.53657870400275,0.04144258900123532,0.0320001
NODE1,[20],0,S,33,False,True,196,196,[1.0458269  1.01276606],,,[0.64217016 0.71670086],[0.148 0.203],[1.0458269  1.01276606],[0.31130212 0.24254944],pwc,37.18830172199887,6.042343252000137,28.972242691990687,0.3479296309997153,0.866001
NODE1,[20],7,S,74,False,True,494,494,[0.90033039 0.90037547],,,[0.54476979 0.48511494],[0.035 0.083],[0.90033039 0.90037547],[0.2446861  0.26876661],pwc,73.16429509500085,8.261597880002228,61.02669097102262,0.7128545400009898,0.981001
NODE1,[20],8,S,71,False,True,476,476,[0.79719141 0.79751305],,,[0.53624032 0.51448181],[0.076 0.173],[0.79719141 0.79751305],[0.21016597 0.21075779],pwc,76.34548202799851,8.010883620998356,64.56807328401192,0.6583813870020094,1.03001
NODE1,[20],12,S,67,False,True,432,432,[0.86790144 0.86152747],,,[0.59704815 0.55276857],[0.123 0.079],[0.86790144 0.882     ],[0.23333109 0.2547837 ],pwc,92.72263397699862,7.340204954998626,83.05309273501916,0.6145949050005584,0.114001
NODE1,[20],19,S,82,False,True,558,558,[0.95309027 0.82400665],,,[0.56920054 0.46001349],[0.061 0.044],[0.95309027 0.82400665],[0.27529698 0.24346519],pwc,107.42806616999951,7.650388098998519,95.11657604698121,0.6084027159995458,1.57801
NODE1,[20],21,S,47,False,True,302,302,[1.01397805 0.86546399],,,[0.61323171 0.46643234],[0.15 0.1 ],[1.01397805 0.86546399],[0.24925115 0.22528873],pwc,63.24442932600141,7.618817160000617,52.79206335298659,0.5129321809981775,1.04101
NODE1,[20],24,S,63,False,True,412,412,[0.90168178 0.87896131],,,[0.6173528  0.55897492],[0.114 0.071],[0.90168178 0.87896131],[0.22963995 0.24501459],pwc,61.63747898299698,7.556051827999909,50.85097343104644,0.5401135980027902,1.19201
NODE1,[20],29,S,86,False,True,590,590,[1.05910949 1.05803996],,,[0.70215846 0.61310418],[0.115 0.097],[1.05910949 1.05803996],[0.30117092 0.32062832],pwc,89.82378288399923,7.869572395000432,70.344904278998,0.7825413440004922,7.15201
NODE1,[20],35,S,52,False,True,336,336,[0.85564375 0.8528398 ],,,[0.58194651 0.46713844],[0.094 0.115],[0.85564375 0.8528398 ],[0.19291077 0.19613029],pwc,56.625529533997906,7.889245778998884,46.026502666012675,0.49580142099875957,0.717001
NODE1,[20],37,S,56,False,True,368,368,[0.97247459 0.87344557],,,[0.64687894 0.51123038],[0.126 0.082],[0.97247459 0.87344557],[0.24405097 0.2501972 ],pwc,60.92665798099915,7.836463019000803,49.35218999202698,0.4868448699999135,1.69701
Water-tank-4d,[12],0,S,6,False,True,16,16,[0.2 0.2 0.2 0.2],,,[0.13516667 0.07       0.07       0.07083333],[0.026 0.005 0.005 0.005],[0.2 0.2 0.2 0.2],[0.07731843 0.09192388 0.09192388 0.09134078],pwa,13.906946928000252,11.079243612000027,2.38877230199887,0.06593257599979552,0.113001
Water-tank-4d,[12],7,S,18,False,True,106,106,[0.2 0.2 0.2 0.2],,,[0.178      0.11961111 0.11505556 0.11505556],[0.035 0.007 0.005 0.005],[0.2 0.2 0.2 0.2],[0.05054811 0.09014441 0.09501606 0.09499618],pwa,51.29399429800014,9.797781500999918,40.64320841899553,0.16910132199973305,0.0940001
Water-tank-4d,[12],10,S,5,False,True,8,8,[0.2 0.2 0.2 0.2],,,[0.161  0.098  0.0862 0.0832],[0.027 0.005 0.007 0.005],[0.2 0.2 0.2 0.2],[0.06753962 0.08766984 0.0929374  0.0953675 ],pwa,16.72200565000003,13.920879245000833,2.272481889001938,0.08734409299995605,0.133001
