Benchmark,Width,Seed,Result,Partitions,Prune,Error_check,Transitions,Transitions_Pruned,Error,Est_Mean_se,Est_Max_se,New_Mean_Error,New_Max_Error,New_Min_Error,Error_std,Template,Tot_Time,Learner_Time,Certifier_Time,Abstraction_Time,Verification_Time
Non-Lipschitz2,[20],4,S,43,False,False,264,264,[1.1014013  1.10138714],,,[1.1014013  1.10138714],[1.1014013  1.10138714],[1.1014013  1.10138714],[0. 0.],pwc,21.18717374100015,10.458333521000895,0.2613037980008812,0.42101898200053256,8.91601
Non-Lipschitz2,[20],5,S,53,False,False,344,344,[1.0701862  1.00507781],,,[1.0701862  1.00507781],[1.0701862  1.00507781],[1.0701862  1.00507781],[0. 0.],pwc,27.007661619998544,10.98400412599949,0.3153222660002939,0.49072757700196235,13.7191
Non-Lipschitz2,[20],6,S,71,False,False,482,482,[1.05324991 1.05329424],,,[1.05324991 1.05329424],[1.05324991 1.05329424],[1.05324991 1.05329424],[0. 0.],pwc,34.5282888690017,9.827205640998727,0.3239133990027767,0.5451947310029936,21.1221
Non-Lipschitz2,[20],7,S,63,False,False,412,412,[0.70705734 0.70705086],,,[0.70705734 0.70705086],[0.70705734 0.70705086],[0.70705734 0.70705086],[0. 0.],pwc,72.67233539299923,61.354361059999064,1.1962599239996052,0.47909449400322046,7.64601
Non-Lipschitz2,[20],8,S,74,False,False,500,500,[0.91346242 0.9139289 ],,,[0.91346242 0.9139289 ],[0.91346242 0.9139289 ],[0.91346242 0.9139289 ],[0. 0.],pwc,39.01826148699911,11.100516833997972,0.4835745560012583,0.543091182000353,24.0601
Non-Lipschitz2,[20],9,S,56,False,False,356,356,[0.87683588 0.87686345],,,[0.87683588 0.87686345],[0.87683588 0.87686345],[0.87683588 0.87686345],[0. 0.],pwc,116.02460742199764,102.41165948499838,2.494502150995686,0.4827944930002559,8.60001
Non-Lipschitz2,[20],0,S,56,False,True,356,356,[0.82880028 0.82880169],,,[0.54871074 0.47980018],[0.155 0.098],[0.82880028 0.82880169],[0.18080443 0.23315888],pwc,83.17099135399985,76.4175900299997,2.201252331960859,0.3921658370018122,2.71201
Non-Lipschitz2,[20],1,S,70,False,True,480,480,[0.96148029 0.96148431],,,[0.64397266 0.65641672],[0.076 0.033],[0.96148029 0.96148431],[0.27892301 0.27365865],pwc,28.484656877000816,10.569165944001725,0.8042191979475319,0.5210400579999259,13.4411
Non-Lipschitz2,[20],2,S,72,False,True,484,484,[1.13882348 1.13867648],,,[0.79220505 0.71069772],[0.113 0.127],[1.13882348 1.13867648],[0.32568131 0.3519777 ],pwc,32.39535076999891,9.617966396999691,1.2685600250042626,0.5904326510026294,17.8391
Non-Lipschitz2,[20],3,S,70,False,True,462,462,[0.83235718 0.83329633],,,[0.5138194  0.50794921],[0.051 0.061],[0.83235718 0.91      ],[0.21596353 0.25465535],pwc,39.558980237998185,21.607000555999548,1.2639767280161323,0.5986707200027013,12.8441
Non-Lipschitz2,[20],4,S,43,False,True,264,264,[1.1014013  1.10138714],,,[0.65515835 0.6931793 ],[0.097 0.196],[1.1014013  1.10138714],[0.2995019 0.2594461],pwc,16.89638166200166,10.909466113000235,0.6660198820354708,0.5387908150005387,3.27201
Non-Lipschitz2,[20],5,S,53,False,True,344,344,[1.0701862  1.00507781],,,[0.6485257  0.58733544],[0.176 0.073],[1.0701862  1.00507781],[0.28391785 0.29108209],pwc,19.04815876700013,10.449296217000665,0.53852140199524,0.4400612360004743,5.70001
Non-Lipschitz2,[20],6,S,71,False,True,482,482,[1.05324991 1.05329424],,,[0.68435561 0.61598595],[0.063 0.059],[1.05324991 1.05329424],[0.30757984 0.29824589],pwc,23.736491194002156,11.901018609001767,0.6136447800381575,0.511704249001923,8.21701
Non-Lipschitz2,[20],7,S,63,False,True,412,412,[0.70705734 0.70705086],,,[0.47081954 0.42507237],[0.111 0.032],[0.70705734 0.758     ],[0.1690237  0.21599762],pwc,68.75273944500077,59.91418374299974,1.528936438018718,0.5138033240000368,4.84001
Non-Lipschitz2,[20],8,S,74,False,True,500,500,[0.91346242 0.9139289 ],,,[0.60831518 0.58276649],[0.102 0.073],[0.91346242 0.9139289 ],[0.23333872 0.27291893],pwc,21.929810690999147,10.933876130999124,0.9895541040386888,0.5725778910018562,6.96601
Non-Lipschitz2,[20],9,S,56,False,True,356,356,[0.87683588 0.87686345],,,[0.58698269 0.53713145],[0.104 0.081],[0.915      0.87686345],[0.21781484 0.26202713],pwc,109.67449496100016,101.96920733399747,2.8348816860052466,0.4716352920004283,2.89301
